item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00001,ORD0181,PROD0286,2,3331.46,47
ITEM00002,ORD0439,PROD0106,1,468.21,31
ITEM00004,ORD0420,PROD0198,2,2489.46,21
ITEM00005,ORD0107,PROD0417,5,3831.85,32
ITEM00006,ORD0440,PROD0161,3,3571.71,41
ITEM00007,ORD0079,PROD0435,5,617.74,8
ITEM00008,ORD0113,PROD0470,3,1989.32,28
ITEM00009,ORD0445,PROD0318,5,1094.8,25
ITEM00010,ORD0097,PROD0036,3,2173.16,43
ITEM00013,ORD0009,PROD0458,4,1016.45,1
ITEM00014,ORD0244,PROD0339,5,2317.94,16
ITEM00015,ORD0061,PROD0475,5,511.93,27
ITEM00016,ORD0109,PROD0078,4,2560.73,32
ITEM00017,ORD0171,PROD0028,4,1435.69,6
ITEM00018,ORD0026,PROD0333,4,3686.81,27
ITEM00019,ORD0100,PROD0151,2,2073.19,38
ITEM00020,ORD0142,PROD0272,5,2518.72,27
ITEM00021,ORD0056,PROD0349,1,3267.09,7
ITEM00022,ORD0113,PROD0059,1,4485.79,36
ITEM00023,ORD0137,PROD0123,1,2707.45,17
ITEM00024,ORD0116,PROD0452,5,3527.61,25
ITEM00025,ORD0201,PROD0202,1,1177.45,44
ITEM00026,ORD0138,PROD0254,2,938.04,13
ITEM00027,ORD0178,PROD0327,3,3558.68,18
ITEM00028,ORD0376,PROD0002,1,1006.89,44
ITEM00029,ORD0319,PROD0245,3,4277.56,44
ITEM00030,ORD0123,PROD0088,3,3439.07,10
ITEM00031,ORD0096,PROD0171,4,794.98,0
ITEM00033,ORD0499,PROD0136,1,936.55,48
ITEM00034,ORD0437,PROD0005,5,1825.5,30
ITEM00037,ORD0428,PROD0117,5,2565.42,48
ITEM00039,ORD0172,PROD0232,4,3700.59,34
ITEM00041,ORD0007,PROD0424,3,1575.56,21
ITEM00042,ORD0457,PROD0266,5,2473.34,17
ITEM00045,ORD0126,PROD0296,4,1861.16,47
ITEM00046,ORD0046,PROD0100,4,3229.8,17
ITEM00047,ORD0450,PROD0321,5,4506.18,28
ITEM00049,ORD0179,PROD0455,3,2016.03,26
ITEM00050,ORD0484,PROD0142,3,1033.81,37
ITEM00053,ORD0406,PROD0178,3,639.93,0
ITEM00054,ORD0256,PROD0475,2,2384.96,9
ITEM00055,ORD0268,PROD0495,3,3156.6,42
ITEM00056,ORD0084,PROD0156,4,1512.47,18
ITEM00058,ORD0064,PROD0028,4,1598.53,27
ITEM00059,ORD0181,PROD0339,1,344.52,8
ITEM00060,ORD0180,PROD0450,3,3947.79,32
ITEM00061,ORD0341,PROD0491,5,859.68,5
ITEM00062,ORD0366,PROD0139,2,4979.98,12
ITEM00063,ORD0222,PROD0300,1,1524.93,2
ITEM00065,ORD0327,PROD0198,4,2055.66,6
ITEM00066,ORD0458,PROD0134,3,3025.49,11
ITEM00067,ORD0289,PROD0224,3,4041.46,8
ITEM00068,ORD0350,PROD0394,2,1325.1,26
ITEM00069,ORD0284,PROD0103,3,1594.48,19
ITEM00070,ORD0291,PROD0475,4,2774.57,24
ITEM00073,ORD0365,PROD0184,4,1835.55,29
ITEM00074,ORD0216,PROD0493,4,2360.29,35
ITEM00075,ORD0014,PROD0491,4,533.3,8
ITEM00076,ORD0315,PROD0465,3,3954.5,37
ITEM00078,ORD0450,PROD0151,1,3801.14,25
ITEM00079,ORD0065,PROD0207,1,2367.76,48
ITEM00080,ORD0448,PROD0266,4,4212.07,5
ITEM00081,ORD0029,PROD0139,1,1734.07,6
ITEM00082,ORD0421,PROD0149,5,2459.19,21
ITEM00083,ORD0443,PROD0032,1,3728.32,43
ITEM00084,ORD0262,PROD0379,1,3537.71,33
ITEM00086,ORD0328,PROD0437,2,1574.37,19
ITEM00089,ORD0310,PROD0451,1,2647.13,15
ITEM00091,ORD0228,PROD0201,1,4637.62,19
ITEM00092,ORD0208,PROD0248,2,4119.33,34
ITEM00093,ORD0134,PROD0421,5,3438.47,42
ITEM00094,ORD0316,PROD0064,4,816.61,1
ITEM00095,ORD0095,PROD0073,2,936.8,47
ITEM00096,ORD0359,PROD0280,2,2433.18,18
ITEM00097,ORD0149,PROD0342,1,4799.55,31
ITEM00098,ORD0189,PROD0342,3,2016.83,44
ITEM00099,ORD0410,PROD0055,4,2142.79,27
ITEM00101,ORD0200,PROD0006,5,1583.53,41
ITEM00102,ORD0334,PROD0458,5,2277.95,22
ITEM00103,ORD0493,PROD0072,4,4423.88,29
ITEM00104,ORD0142,PROD0005,2,1852.96,32
ITEM00105,ORD0108,PROD0179,5,2014.06,4
ITEM00106,ORD0090,PROD0336,2,1824.15,46
ITEM00107,ORD0289,PROD0174,4,3604.39,50
ITEM00108,ORD0072,PROD0143,3,4625.04,4
ITEM00109,ORD0470,PROD0430,4,1944.96,30
ITEM00111,ORD0398,PROD0338,5,1370.21,44
ITEM00112,ORD0166,PROD0302,5,1805.67,39
ITEM00114,ORD0082,PROD0119,1,3359.78,31
ITEM00115,ORD0479,PROD0348,4,1685.93,14
ITEM00116,ORD0396,PROD0414,2,616.62,11
ITEM00117,ORD0373,PROD0457,4,3803.49,26
ITEM00118,ORD0473,PROD0033,1,3098.33,7
ITEM00119,ORD0020,PROD0434,1,2263.49,23
ITEM00121,ORD0056,PROD0358,4,1950.38,40
ITEM00122,ORD0294,PROD0285,2,1059.02,31
ITEM00123,ORD0225,PROD0348,3,1204.93,47
ITEM00124,ORD0083,PROD0223,5,4062.49,12
ITEM00125,ORD0045,PROD0299,1,3182.67,42
ITEM00127,ORD0185,PROD0397,4,2884.65,4
ITEM00128,ORD0175,PROD0095,5,2531.26,13
ITEM00129,ORD0293,PROD0424,4,2554.17,22
ITEM00131,ORD0225,PROD0219,4,4382.49,36
ITEM00133,ORD0256,PROD0119,1,3047.3,21
ITEM00134,ORD0012,PROD0115,3,4619.14,16
ITEM00135,ORD0200,PROD0361,3,432.97,10
ITEM00137,ORD0437,PROD0266,5,2550.23,25
ITEM00139,ORD0299,PROD0242,3,3300.84,2
ITEM00140,ORD0174,PROD0216,3,1082.51,48
ITEM00142,ORD0169,PROD0474,1,1254.52,4
ITEM00143,ORD0413,PROD0486,5,4531.19,44
ITEM00144,ORD0428,PROD0392,1,1794.64,4
ITEM00145,ORD0487,PROD0214,5,3722.52,5
ITEM00146,ORD0455,PROD0283,4,4738.34,17
ITEM00147,ORD0371,PROD0022,1,274.44,32
ITEM00148,ORD0116,PROD0333,3,2214.43,19
ITEM00149,ORD0401,PROD0436,2,205.07,3
ITEM00150,ORD0014,PROD0397,2,2717.51,24
ITEM00151,ORD0350,PROD0351,1,2807.23,3
ITEM00152,ORD0199,PROD0393,4,3507.66,27
ITEM00153,ORD0360,PROD0219,5,775.08,28
ITEM00154,ORD0061,PROD0460,5,4914.42,23
ITEM00155,ORD0181,PROD0100,3,2238.97,3
ITEM00156,ORD0122,PROD0119,1,2984.23,14
ITEM00157,ORD0212,PROD0383,5,2883.44,0
ITEM00158,ORD0448,PROD0369,2,4081.85,4
ITEM00159,ORD0030,PROD0065,4,984.91,2
ITEM00160,ORD0161,PROD0180,5,3310.52,15
ITEM00161,ORD0150,PROD0067,5,2049.31,42
ITEM00162,ORD0063,PROD0337,1,474.25,34
ITEM00163,ORD0106,PROD0254,3,4498.44,14
ITEM00164,ORD0228,PROD0366,3,4712.99,49
ITEM00166,ORD0164,PROD0358,5,2566.88,3
ITEM00167,ORD0178,PROD0462,4,3556.96,39
ITEM00168,ORD0249,PROD0144,1,1097.42,8
ITEM00169,ORD0431,PROD0500,5,1229.63,47
ITEM00170,ORD0284,PROD0108,1,1924.71,50
ITEM00171,ORD0073,PROD0019,2,3521.88,41
ITEM00172,ORD0392,PROD0233,1,204.32,2
ITEM00173,ORD0139,PROD0143,5,1982.47,5
ITEM00175,ORD0442,PROD0196,4,2275.7,14
ITEM00176,ORD0106,PROD0195,2,3333.64,34
ITEM00177,ORD0027,PROD0339,3,253.4,48
ITEM00178,ORD0179,PROD0480,1,4559.26,48
ITEM00179,ORD0458,PROD0173,3,4070.19,37
ITEM00180,ORD0111,PROD0388,1,1770.63,39
