product_id,product_name,category,subcategory,cost_price
PROD0001,Ai Basics 1,Books,Books,4126.14
PROD0002,T-Shirt 2,Clothing,Clothing,2905.59
PROD0003,Monitor 3,Electronics,Electronics,192.79
PROD0004,Fan 4,Home,Home,842.01
PROD0005,Shirt 5,Clothing,Clothing,2558.92
PROD0006,Python Book 6,Books,Books,3558.3
PROD0007,Shorts 7,Clothing,Clothing,1692.74
PROD0008,Deep Learning 8,Books,Books,1946.44
PROD0009,Dress 9,Clothing,Clothing,4569.41
PROD0010,Bottle 10,Home,Home,1836.01
PROD0011,Mattress 11,Home,Home,2472.48
PROD0012,Cap 12,Clothing,Clothing,2834.62
PROD0013,Cap 13,Clothing,Clothing,3878.75
PROD0014,Dress 14,Clothing,Clothing,1653.5
PROD0015,Bottle 15,Home,Home,4675.13
PROD0016,Pillow 16,Home,Home,697.18
PROD0017,Statistics 17,Books,Books,4110.05
PROD0018,Cap 18,Clothing,Clothing,306.13
PROD0019,Tablet 19,Electronics,Electronics,4627.65
PROD0020,Cup 20,Home,Home,1148.54
PROD0021,Bottle 21,Home,Home,3511.24
PROD0022,Jeans 22,Clothing,Clothing,3116.82
PROD0023,Shoes 23,Clothing,Clothing,348.75
PROD0024,Shoes 24,Clothing,Clothing,357.21
PROD0025,Machine Learning 25,Books,Books,3615.05
PROD0026,Keyboard 26,Electronics,Electronics,125.39
PROD0027,Shirt 27,Clothing,Clothing,3299.17
PROD0028,Business Analytics 28,Books,Books,3287.64
PROD0029,Sofa 29,Home,Home,1498.54
PROD0030,Mouse 30,Electronics,Electronics,3296.26
PROD0031,Shorts 31,Clothing,Clothing,3719.56
PROD0032,Keyboard 32,Electronics,Electronics,2147.64
PROD0033,T-Shirt 33,Clothing,Clothing,4986.14
PROD0034,Business Analytics 34,Books,Books,1012.93
PROD0035,Chair 35,Home,Home,145.41
PROD0036,Tablet 36,Electronics,Electronics,1494.35
PROD0037,Ai Basics 37,Books,Books,4270.19
PROD0038,Algorithms 38,Books,Books,1044.78
PROD0039,Tablet 39,Electronics,Electronics,896.22
PROD0040,Algorithms 40,Books,Books,3621.13
PROD0041,Tablet 41,Electronics,Electronics,3974.76
PROD0042,Jacket 42,Clothing,Clothing,3093.68
PROD0043,Statistics 43,Books,Books,2624.88
PROD0044,Speaker 44,Electronics,Electronics,3379.35
PROD0045,Jacket 45,Clothing,Clothing,2439.53
PROD0046,T-Shirt 46,Clothing,Clothing,1377.85
PROD0047,Dress 47,Clothing,Clothing,3793.41
PROD0048,Pillow 48,Home,Home,2954.06
PROD0049,Headphones 49,Electronics,Electronics,3303.05
PROD0050,T-Shirt 50,Clothing,Clothing,3372.15
PROD0051,Algorithms 51,Books,Books,882.61
PROD0052,Table 52,Home,Home,3229.69
PROD0053,Sofa 53,Home,Home,3111.66
PROD0054,Jacket 54,Clothing,Clothing,2443.09
PROD0055,Networking 55,Books,Books,1930.76
PROD0056,Deep Learning 56,Books,Books,4029.78
PROD0057,Shoes 57,Clothing,Clothing,3433.68
PROD0058,Smartphone 58,Electronics,Electronics,2289.07
PROD0059,Table 59,Home,Home,4594.5
PROD0060,Laptop 60,Electronics,Electronics,4160.99
PROD0061,Hoodie 61,Clothing,Clothing,2729.63
PROD0062,Sweater 62,Clothing,Clothing,4286.98
PROD0063,Sql Guide 63,Books,Books,3433.45
PROD0064,Sql Guide 64,Books,Books,4504.56
PROD0065,Python Book 65,Books,Books,2321.82
PROD0066,Business Analytics 66,Books,Books,2863.16
PROD0067,Algorithms 67,Books,Books,3644.07
PROD0068,Algorithms 68,Books,Books,4100.62
PROD0069,Hoodie 69,Clothing,Clothing,457.84
PROD0070,Machine Learning 70,Books,Books,3531.89
PROD0071,Mouse 71,Electronics,Electronics,4932.07
PROD0072,Python Book 72,Books,Books,1506.74
PROD0073,Jacket 73,Clothing,Clothing,3852.56
PROD0074,Machine Learning 74,Books,Books,4965.0
PROD0075,Business Analytics 75,Books,Books,4361.14
PROD0076,Statistics 76,Books,Books,493.22
PROD0077,Sweater 77,Clothing,Clothing,681.3
