order_id,customer_id,order_date,status,region_code
ORD0001,CUST0011,2025-07-13 19:32:47,DELIVERED,EAST
ORD0002,CUST0160,2025-11-08 01:33:08,DELIVERED,WEST
ORD0003,CUST0440,2026-03-23 10:12:06,PLACED,SOUTH
ORD0004,CUST0069,2026-02-21 03:39:51,DELIVERED,WEST
ORD0005,CUST0397,2025-10-03 12:46:30,DELIVERED,EAST
ORD0006,CUST0374,2024-11-10 03:16:50,CANCELLED,NORTH
ORD0007,CUST0097,2025-07-22 13:23:18,CANCELLED,SOUTH
ORD0008,CUST0468,2025-06-02 22:42:49,CANCELLED,WEST
ORD0009,CUST0389,2024-11-19 20:28:42,RETURNED,EAST
ORD0010,,2026-06-05 00:09:05,PLACED,SOUTH
ORD0011,CUST0034,2025-11-05 16:18:31,DELIVERED,WEST
ORD0012,CUST0070,2026-06-18 21:39:59,RETURNED,NORTH
ORD0013,CUST0089,2025-12-31 13:35:02,SHIPPED,SOUTH
ORD0014,CUST0429,2025-06-30 04:20:27,PLACED,SOUTH
ORD0015,CUST0017,2025-03-31 02:01:20,CANCELLED,NORTH
ORD0016,CUST0471,2024-12-18 20:01:22,DELIVERED,SOUTH
ORD0017,CUST0141,2025-07-03 04:53:57,DELIVERED,WEST
ORD0018,CUST0259,2024-08-26 21:50:34,CANCELLED,NORTH
ORD0019,CUST0349,2025-04-07 20:33:05,PLACED,SOUTH
ORD0020,CUST0191,2024-08-12 06:17:17,CANCELLED,WEST
ORD0021,CUST0091,2024-12-10 00:51:17,CANCELLED,EAST
ORD0022,CUST0177,2026-05-06 01:36:33,SHIPPED,EAST
ORD0023,CUST0384,2025-04-01 21:04:35,PLACED,EAST
ORD0024,CUST0015,2025-06-20 01:53:39,CANCELLED,NORTH
ORD0025,CUST0084,2025-06-09 02:22:54,RETURNED,SOUTH
ORD0026,CUST0439,2024-08-14 21:54:37,SHIPPED,SOUTH
ORD0027,CUST0347,2026-06-28 07:01:13,SHIPPED,EAST
ORD0028,CUST0334,2025-03-05 17:15:00,CANCELLED,NORTH
ORD0029,CUST0443,2025-12-08 01:21:26,PLACED,WEST
ORD0030,CUST0467,2025-07-27 20:15:02,SHIPPED,SOUTH
ORD0031,,2026-03-10 00:46:00,PLACED,SOUTH
ORD0032,CUST0130,2026-03-13 20:22:15,RETURNED,EAST
ORD0033,CUST0365,2025-01-20 08:07:19,DELIVERED,WEST
ORD0034,CUST0459,2025-08-13 15:04:30,CANCELLED,EAST
ORD0035,CUST0236,2024-11-15 23:38:33,DELIVERED,SOUTH
ORD0036,CUST0239,2025-11-01 11:42:46,DELIVERED,WEST
ORD0037,CUST0300,2025-04-04 19:59:55,PLACED,NORTH
ORD0038,CUST0262,2025-11-01 05:46:25,DELIVERED,EAST
ORD0039,CUST0153,2026-03-14 06:50:01,PLACED,WEST
ORD0040,CUST0033,2025-07-24 09:40:37,DELIVERED,EAST
ORD0041,CUST0328,2026-10-29 11:19:30,DELIVERED,EAST
ORD0042,CUST0134,2026-05-05 17:07:47,DELIVERED,SOUTH
ORD0043,CUST0077,2025-07-24 04:34:24,RETURNED,SOUTH
ORD0044,CUST0461,26-03-2025 18:37:46,PLACED,WEST
ORD0045,CUST0339,2026-04-06 20:13:53,DELIVERED,SOUTH
ORD0046,CUST0370,2025-07-02 15:12:51,PLACED,WEST
ORD0047,CUST0152,2025-06-29 03:54:49,DELIVERED,WEST
ORD0048,CUST0208,26-09-2025 08:31:40,CANCELLED,NORTH
ORD0049,CUST0299,2025-07-13 13:45:22,RETURNED,SOUTH
ORD0050,CUST0176,2024-10-21 12:07:00,SHIPPED,WEST
ORD0051,CUST0465,2024-11-09 23:06:46,DELIVERED,EAST
ORD0052,CUST0433,2024-09-06 07:15:53,SHIPPED,SOUTH
ORD0053,CUST0151,2025-10-25 00:55:15,PLACED,WEST
ORD0054,CUST0066,2024-12-13 12:00:26,DELIVERED,SOUTH
